,,,,present positive,present negative,past positive,past negative,dictionary,volitional,te form
,,,,imasu,imasen,imashita,imasendeshita,u,imashou,te
go,,,,ikimasu,,,,,,itte
return,,,,kaerimasu,,,,,,kaette
drink,,,,nomimasu,,,,,,nonde
buy,,,,kaimasu,,,,,,katte
read,,,,yomimasu,,,,,,yonde
listen,ask,,,kikimasu,,,,,,kiite
walk,,,,arukimasu,,,,,,aruite
send,,,,okurimasu,,,,,,okutte
meet,,,,aimasu,,,,,,atte
draw,write,,,kakimasu,,,,,,kaite
take (thing),,,,torimasu,,,,,,totte
climb,,,,noborimasu,,,,,,nobotte
make,,,,tsukurimasu,,,,,,tsukutte
exist (inanimate),be (inanimate),have,,arimasu,,,,,,atte
receive,,,,moraimasu,,,,,,moratte
lend,loan,,,kashimasu,,,,kasu,,kashite
dance (verb),,,,odorimasu,,,,,,odotte
run,,,,hashirimasu,,,,,,hashitte
swim,,,,oyogimasu,,,,,,oyoide
sing,,,,utaimasu,,,,,,utatte
talk,,,,hanashimasu,,,,hanasu,,hanashite
learn,,,,naraimasu,,,,,,naratte
wash,,,,araimasu,,,,,,aratte
live,,,,sumimasu,,,,,,sunde
die,,,,shinimasu,,,,,,shinde
play (games),,,,asobimasu,,,,,,asonde
wait,,,,machimasu,,,,matsu,,matte
turn,,,,magarimasu,,,,,,magatte
say,,,,iimasu,,,,,,itte
arrive,,,,tsukimasu,,,,,,tsuite
take (time),,,,kakarimasu,,,,,,kakatte
get on,board,,,norimasu,,,,,,notte
