,,,modifying noun,present positive,present negative,past positive,past negative
,,,i,idesu,kunaidesu,kattadesu,kunakattadesu
big,,,ookii,ookiidesu,ookikunaidesu,ookikattadesu,ookikunakattadesu
small,,,chiisai,chiisaidesu,chiisakunaidesu,chiisakattadesu,chiisakunakattadesu
expensive,tall,,takai,takaidesu,takakunaidesu,takakattadesu,takakunakattadesu
cheap,inexpensive,,yasui,yasuidesu,yasukunaidesu,yasukattadesu,yasukunakattadesu
new,fresh,,atarashii,atarashiidesu,atarashikunaidesu,atarashikattadesu,atarashikunakattadesu
old (fashioned),outdated,,furui,furuidesu,furukunaidesu,furukattadesu,furukunakattadesu
good,nice,,ii,iidesu,yokunaidesu,yokattadesu,yokunakattadesu
bad,,,warui,waruidesu,warukunaidesu,warukattadesu,warukunakattadesu
hot,,,atsui,atsuidesu,atsukunaidesu,atsukattadesu,atsukunakattadesu
cold (weather),,,samui,samuidesu,samukunaidesu,samukattadesu,samukunakattadesu
warm,,,atatakai,atatakaidesu,atatakakunaidesu,atatakakattadesu,atatakakunakattadesu
cool (weather),,,suzushii,suzushiidesu,suzushikunaidesu,suzushikattadesu,suzushikunakattadesu
interesting,funny,,omoshiroi,omoshiroidesu,omoshirokunaidesu,omoshirokattadesu,omoshirokunakattadesu
delicious,,,oishii,oishiidesu,oishikunaidesu,oishikattadesu,oishikunakattadesu
old (aged),,,toshii,toshiidesu,toshikunaidesu,toshikattadesu,toshikunakattadesu
fun,pleasant,,tanoshii,tanoshiidesu,tanoshikunaidesu,tanoshikattadesu,tanoshikunakattadesu
boring,,,tsumaranai,tsumaranaidesu,tsumaranakunaidesu,tsumaranakattadesu,tsumaranakunakattadesu
difficult,,,muzukashii,muzukashiidesu,muzukashikunaidesu,muzukashikattadesu,muzukashikunakattadesu
busy,,,isogashii,isogashiidesu,isogashikunaidesu,isogashikattadesu,isogashikunakattadesu
dangerous,,,abunai,abunaidesu,abunakunaidesu,abunakattadesu,abunakunakattadesu
