,,,present positive,present negative,past positive,past negative,dictionary,volitional,te
,,,imasu,imasen,imashita,imasendeshita,uru,imashou,ite
come,,,kimasu,kimasen,kimashita,kimasendeshita,kuru,kimashou,kite
do,,,shimasu,shimasen,shimashita,shimasendeshita,suru,shimashou,shite
study,,,benkyouwoshimasu,benkyouwoshimasen,benkyouwoshimashita,benkyouwoshimasendeshita,benkyouwosuru,benkyouwoshimashou,benkyouwoshite
shop,,,kaimonowoshimasu,kaimonowoshimasen,kaimonowoshimashita,kaimonowoshimasendeshita,kaimonowosuru,kaimonowoshimashou,kaimonowoshite
work,,,shigotowoshimasu,shigotowoshimasen,shigotowoshimashita,shigotowoshimasendeshita,shigotowosuru,shigotowoshimashou,shigotowoshite
phone,,,denwawoshimasu,denwawoshimasen,denwawoshimashita,denwawoshimasendeshita,denwawosuru,denwawoshimashou,denwawoshite
walk,,,sanpowoshimasu,sanpowoshimasen,sanpowoshimashita,sanpowoshimasendeshita,sanpowosuru,sanpowoshimashou,sanpowoshite
cook,,,ryouriwoshimasu,ryouriwoshimasen,ryouriwoshimashita,ryouriwoshimasendeshita,ryouriwosuru,ryouriwoshimashou,ryouriwoshite
eat (eg have lunch),,,shokujiwoshimasu,shokujiwoshimasen,shokujiwoshimashita,shokujiwoshimasendeshita,shokujiwosuru,shokujiwoshimashou,shokujiwoshite
stretch,,,sutoretchiwoshimasu,sutoretchiwoshimasen,sutoretchiwoshimashita,sutoretchiwoshimasendeshita,sutoretchiwosuru,sutoretchiwoshimashou,sutoretchiwoshite
download,,,daunroodoshimasu,daunroodoshimasen,daunroodoshimashita,daunroodoshimasendeshita,daunroodosuru,daunroodoshimashou,daunroodoshite
bring (thing),,,mottekimasu,mottekimasen,mottekimashita,mottekimasendeshita,mottekuru,mottekimashou,mottekite
bring (person),,,tsuretekimasu,tsuretekimasen,tsuretekimashita,tsuretekimasendeshita,tsuretekuru,tsuretekimashou,tsuretekite
oversleep,,,neboushimasu,neboushimasen,neboushimashita,neboushimasendeshita,nebousuru,neboushimashou,neboushite
