yesterday,,,kinou
today,,,kyou
tomorrow,,,ashita
day before yesterday,,,ototoi
day after tomorrow,,,asatte
day,,,hi
week,,,shuu
last week,,,senshuu
this week,,,konshuu
next week,,,raishuu
month,,,getsu
last month,,,sengetsu
this month,,,kongetsu
next month,,,raigetsu
year,,,nen
last year,,,kyonen
this year,,,kotoshi
next year,,,rainen
branch (company),,,shisha
airport,,,kuukou
station,,,eki
park,,,kouen
home,,,uchi
house,,,ie
friend,,,tomodachi
colleague,,,douryou
boss,,,joushi
family,,,kazoku
student,,,gakusei
