,,,modifying noun,present positive,present negative,past positive,past negative
,,,na,desu,jaarimasen,deshita,jaarimasendeshita
lively,,,nigiyakana,nigiyakadesu,nigiyakajaarimasen,nigiyakadeshita,nigiyakajaarimasendeshita
quiet,,,shizukana,shizukadesu,shizukajaarimasen,shizukadeshita,shizukajaarimasendeshita
convenient,,,benrina,benridesu,benrijaarimasen,benrideshita,benrijaarimasendeshita
famous,,,yuumeina,yuumeidesu,yuumeijaarimasen,yuumeideshita,yuumeijaarimasendeshita
pretty,clean,,kireina,kireidesu,kireijaarimasen,kireideshita,kireijaarimasendeshita
easy,simple,,kantanna,kantandesu,kantanjaarimasen,kantandeshita,kantanjaarimasendeshita
hard,serious,,taihenna,taihendesu,taihenjaarimasen,taihendeshita,taihenjaarimasendeshita
free,,,himana,himadesu,himajaarimasen,himadeshita,himajaarimasendeshita
lovely,nice,,sutekina,sutekidesu,sutekijaarimasen,sutekideshita,sutekijaarimasendeshita
like,favorite,,sukina,sukidesu,sukijaarimasen,sukideshita,sukijaarimasendeshita
skilled,,,jouzuna,jouzudesu,jouzujaarimasen,jouzudeshita,jouzujaarimasendeshita
