,,,present positive,present negative,past positive,past negative
,,,masu,masen,mashita,masendeshita
go,,,ikimasu,,,
come,,,kimasu,,,
return,,,kaerimasu,,,
eat,,,tabemasu,,,
see,,,mimasu,,,
drink,,,nomimasu,,,
buy,,,kaimasu,,,
read,,,yomimasu,,,
listen,ask,,kikimasu,,,
watch,,,mimasu,,,
do,,,shimasu,,,
study,,,benkyouwoshimasu,,,
shop,,,kaimonowoshimasu,,,
work,,,shigotowoshimasu,,,
phone,,,denwawoshimasu,,,
walk,,,sanpowoshimasu,,,
walk,,,arukimasu,,,
send,,,okurimasu,,,
meet,,,aimasu,,,
tell,teach,,oshiemasu,,,
take,,,torimasu,,,
climb,,,noborimasu,,,
show,,,misemasu,,,
exist (inanimate),,,arimasu,,,
exist (animate),,,imasu,,,
make,,,tsukurimasu,,,
have,,,arimasu,,,
give,,,agemasu,,,
receive,,,moraimasu,,,
lend,loan,,kashimasu,,,
borrow,,,karimasu,,,
draw,write,,kakimasu,,,
